Date,Se-Jong,Cheon-An,Gong-Ju
2020-11-25,347038,665256,110308
2020-11-25,347024,665282,110309
2020-11-25,347010,665308,110310
2020-11-25,346996,665334,110311
2020-11-25,346982,665360,110312
2020-11-25,346968,665386,110313
2020-11-25,346954,665412,110314
2020-11-25,346940,665438,110315
2020-11-25,346926,665464,110316
2020-11-25,346912,665490,110317
2020-11-25,346898,665516,110318
2020-11-25,346884,665542,110319
2020-11-25,346870,665568,110320
2020-11-25,346856,665594,110321
2020-11-25,346842,665620,110322
2020-11-25,346828,665646,110323
2020-11-25,346814,665672,110324
2020-11-25,346800,665698,110325
2020-11-25,346786,665724,110326
2020-11-25,346772,665750,110327
2020-11-25,346758,665776,110328
2020-11-25,346744,665802,110329
2020-11-25,346730,665828,110330
2020-11-25,346716,665854,110331
2020-11-25,346702,665880,110332
2020-11-25,346688,665906,110333
2020-11-25,346674,665932,110334
2020-11-25,346660,665958,110335
2020-11-25,346646,665984,110336
2020-11-25,346632,666010,110337
2020-11-25,346618,666036,110338
2020-11-25,346604,666062,110339
2020-11-25,346590,666088,110340
2020-11-25,346576,666114,110341
2020-11-25,346562,666140,110342
2020-11-25,346548,666166,110343
2020-11-25,346534,666192,110344
2020-11-25,346520,666218,110345
2020-11-25,346506,666244,110346
2020-11-25,346492,666270,110347
2020-11-25,346478,666296,110348
2020-11-25,346464,666322,110349
2020-11-25,346450,666348,110350
2020-11-25,346436,666374,110351
2020-11-25,346422,666400,110352
2020-11-25,346408,666426,110353
2020-11-25,346394,666452,110354
2020-11-25,346380,666478,110355
2020-11-25,346366,666504,110356
2020-11-25,346352,666530,110357
2020-11-25,346338,666556,110358
2020-11-25,346324,666582,110359
2020-11-25,346310,666608,110360
2020-11-25,346296,666634,110361
2020-11-25,346282,666660,110362
2020-11-25,346268,666686,110363
2020-11-25,346254,666712,110364
2020-11-25,346240,666738,110365
2020-11-25,346226,666764,110366
2020-11-25,346212,666790,110367
2020-11-25,346198,666816,110368
2020-11-25,346184,666842,110369
2020-11-25,346170,666868,110370
2020-11-25,346156,666894,110371
2020-11-25,346142,666920,110372
2020-11-25,346128,666946,110373
2020-11-25,346114,666972,110374
2020-11-25,346100,666998,110375
2020-11-25,346086,667024,110376
2020-11-25,346072,667050,110377
2020-11-25,346058,667076,110378
2020-11-25,346044,667102,110379
2020-11-25,346030,667128,110380
2020-11-25,346016,667154,110381
2020-11-25,346002,667180,110382
2020-11-25,345988,667206,110383
2020-11-25,345974,667232,110384
2020-11-25,345960,667258,110385
2020-11-25,345946,667284,110386
2020-11-25,345932,667310,110387
2020-11-25,345918,667336,110388
2020-11-25,345904,667362,110389
2020-11-25,345890,667388,110390
2020-11-25,345876,667414,110391
2020-11-25,345862,667440,110392
2020-11-25,345848,667466,110393
2020-11-25,345834,667492,110394
2020-11-25,345820,667518,110395
2020-11-25,345806,667544,110396
2020-11-25,345792,667570,110397
2020-11-25,345778,667596,110398
2020-11-25,345764,667622,110399
2020-11-25,345750,667648,110400
2020-11-25,345736,667674,110401
2020-11-25,345722,667700,110402
2020-11-25,345708,667726,110403
2020-11-25,345694,667752,110404
2020-11-25,345680,667778,110405
2020-11-25,345666,667804,110406
2020-11-25,345652,667830,110407
2020-11-25,345638,667856,110408
2020-11-25,345624,667882,110409
2020-11-25,345610,667908,110410
